notice_id,errors,flags,got_no_persons,got_nothing,labels,officers
135,,,,1,,
181,,,,1,,
399,,,,1,,
987,,,,1,,
1028,,,,1,,
1118,,,,1,,
1145,,,,1,,
1543,,,,1,,
1862,,,,1,,
2010,,,,1,,
2053,,1,1,,,
2066,,,,1,,
2110,,,,1,,
2135,,,,1,,
2921,,,,1,,
2951,,,,1,,
2974,,,,1,,
3093,,,,1,,
3149,,1,1,,,1
3566,,,,1,,
3951,,,1,,,2
4097,,,,1,,
4215,,,,1,,
4430,,,,1,,
4627,,,,1,,
4880,,1,1,,,1
4908,,,,1,,
5117,,,,1,,
5247,,4,1,,,1
5304,,,,1,,
5533,,,,1,,
5780,,,,1,,
6158,,,,1,,
6480,,,,1,,
6763,,,,1,,
7496,,,,1,,
7857,,,,1,,
7899,,,,1,,
7979,,,,1,,
8722,,,,1,,
8856,,4,1,,,2
8903,,4,1,,,1
9043,,,,1,,
9300,,,,1,,
9343,,,,1,,
10268,,,,1,,
11009,,2,1,,,1
11170,,4,1,,,1
11461,,,,1,,
11731,1,,1,,,
12321,,1,1,,,
12677,,,,1,,
12718,,1,1,,,2
13051,,,,1,,
13421,1,,1,,,1
13520,,,,1,,
13549,,,,1,,
13928,,,,1,,
14056,,,,1,,
15518,,,1,,,2
15984,,1,1,,,
16311,,1,1,,,
16619,,,,1,,
16881,,,1,,,1
17337,,,,1,,
17710,,1,1,,1,
17796,1,,1,,,
18575,1,2,1,,,1
19341,1,3,1,,,
19726,,,1,,,1
20248,,,,1,,
20886,,2,1,,,
20956,,,1,,1,
22059,,,,1,,
22792,,,,1,,
22823,,,,1,,
23208,,1,1,,,1
24624,,,,1,,
25686,,2,1,,,
26342,,,,1,,
26968,,1,1,,,1
27549,,,,1,,
27680,,,1,,1,
29424,,,,1,,
29845,,2,1,,,
30307,,,,1,,
30603,,1,1,,,
30998,,,,1,,
31282,,,,1,,
31873,,,,1,,
32236,,,,1,,
32307,,,,1,,
33344,,,,1,,
34188,,,1,,,1
34684,,,,1,,
35088,,,1,,,1
